id,title,ideology,headquarter,audience,region,format,year,month,day,link
67,La Accion,conservative,madrid,adult,national,daily,1918,3,20,https://hemerotecadigital.bne.es/hd/es/viewer?id=b5205a20-b7d3-4ced-9ab2-96ddd57b7288
68,La Accion,conservative,madrid,adult,national,daily,1919,12,19,https://hemerotecadigital.bne.es/hd/es/viewer?id=0490687f-48cb-4a6c-83cb-72f1cdc713e1
69,La Accion,conservative,madrid,adult,national,daily,1921,9,8,https://hemerotecadigital.bne.es/hd/es/viewer?id=8984b45a-feaa-4b48-ba68-ffceb2cd6596
70,La Accion,conservative,madrid,adult,national,daily,1924,2,13,https://hemerotecadigital.bne.es/hd/es/viewer?id=76896e06-ace2-4ffd-af72-d5ef9b075dbd
71,La Actualidad,democrat,barcelona,adult,national,weekly,1906,10,28,https://hemerotecadigital.bne.es/hd/es/viewer?id=af164baf-76b8-41c1-b254-2390fb74cac9
72,La Actualidad,democrat,barcelona,adult,national,weekly,1906,8,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=ca92d7b4-5c45-45b1-8834-b62db2cf027d
73,La Actualidad,democrat,barcelona,adult,national,weekly,1909,10,19,https://hemerotecadigital.bne.es/hd/es/viewer?id=2ef3748d-5744-4a62-a930-12c7d09685e8
74,La Actualidad,democrat,barcelona,adult,national,weekly,1909,3,4,https://hemerotecadigital.bne.es/hd/es/viewer?id=9623b60e-3e30-4730-88d0-915dcbcc5bb4
75,La Actualidad,democrat,barcelona,adult,national,weekly,1911,4,4,https://hemerotecadigital.bne.es/hd/es/viewer?id=aadde9d8-ccc2-4b48-a7e1-d30394cf6566
76,La Actualidad,democrat,barcelona,adult,national,weekly,1911,5,30,https://hemerotecadigital.bne.es/hd/es/viewer?id=b7026074-9d6a-4ce2-b485-aed6ad74ea2d
77,La Dinastia,conservative,barcelona,adult,catalonia,daily,1890,2,8,https://hemerotecadigital.bne.es/hd/es/viewer?id=82300170-c016-4bb7-a558-cfa30b5fd490
78,La Dinastia,conservative,barcelona,adult,catalonia,daily,1890,4,18,https://hemerotecadigital.bne.es/hd/es/viewer?id=b053d575-e0b3-4d10-b32c-1ef87d608269
79,La Dinastia,conservative,barcelona,adult,catalonia,daily,1891,10,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=a7318ba5-8f23-4453-8950-804e46e41ba5
80,La Dinastia,conservative,barcelona,adult,catalonia,daily,1891,8,21,https://hemerotecadigital.bne.es/hd/es/viewer?id=1d7e3a8a-f39d-4735-93b7-ca7f6fec7a70
81,La Dinastia,conservative,barcelona,adult,catalonia,daily,1892,4,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=a3ab8cda-e4ab-4d6b-aeb2-f6aab1d599ae
82,La Dinastia,conservative,barcelona,adult,catalonia,daily,1892,6,29,https://hemerotecadigital.bne.es/hd/es/viewer?id=81e1f9ec-5078-467a-a711-fa9569cbe910
