id,newspaper,year,month,day,link,ideology,hq,audience,region,format,hq latitude,hq longitude,foundedin,Label
52,el siglo futuro,1912,1,23,https://hemerotecadigital.bne.es/hd/es/viewer?id=a2e8d629-3d29-4e7a-9609-eeed1008f972,carlist,madrid,adult,national,daily,40.416.775,-4,1875,1875_52
53,el siglo futuro,1920,12,21,https://hemerotecadigital.bne.es/hd/es/viewer?id=9cd982b8-cc6d-4759-8e49-71038a4e1c46,carlist,madrid,adult,national,daily,40.416.775,-4,1875,1875_53
54,el siglo futuro,1928,7,26,https://hemerotecadigital.bne.es/hd/es/viewer?id=99ee8c23-b4bc-4fed-bd1b-3eaff1b293e4,carlist,madrid,adult,national,daily,40.416.775,-4,1875,1875_54
55,el siglo futuro,1936,4,23,https://hemerotecadigital.bne.es/hd/es/viewer?id=ae5eac21-3e50-48ea-916c-c0b33ca04a67,carlist,madrid,adult,national,daily,40.416.775,-4,1875,1875_55
56,el sol,1918,2,14,https://hemerotecadigital.bne.es/hd/es/viewer?id=a52ff135-4cae-4448-ac0e-85a9de7fe688,liberal,madrid,adult,national,daily,40.416.775,-4100,1917,1917_56
57,el sol,1918,8,11,https://hemerotecadigital.bne.es/hd/es/viewer?id=7bf5adda-542b-448d-9677-2ec2f8b8384a,liberal,madrid,adult,national,daily,40.416.775,-4100,1917,1917_57
58,el sol,1921,10,8,https://hemerotecadigital.bne.es/hd/es/viewer?id=ebf5021e-e857-40f0-913d-1ce0145f165e,liberal,madrid,adult,national,daily,40.416.775,-4100,1917,1917_58
59,el sol,1921,4,28,https://hemerotecadigital.bne.es/hd/es/viewer?id=ef4b9702-6b43-46ae-ba6b-119207dc2ef5,liberal,madrid,adult,national,daily,40.416.775,-4100,1917,1917_59
60,el sol,1925,8,21,https://hemerotecadigital.bne.es/hd/es/viewer?id=e42a540a-f9c9-4a3a-a3e8-4215bf0b58ae,liberal,madrid,adult,national,daily,40.416.775,-4100,1917,1917_60
61,el sol,1930,10,22,https://hemerotecadigital.bne.es/hd/es/viewer?id=bd5ae412-1105-48a5-9c19-858158dfb36f,liberal,madrid,adult,national,daily,40.416.775,-4100,1917,1917_61
62,el sol,1930,4,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=68162adc-2a08-4ad1-b089-096fca5d6c41,liberal,madrid,adult,national,daily,40.416.775,-4100,1917,1917_62
63,el sol,1934,12,21,https://hemerotecadigital.bne.es/hd/es/viewer?id=04c1ebac-91d9-4290-a5d2-d6ab7fd63ee3,liberal,madrid,adult,national,daily,40.416.775,-4100,1917,1917_63
64,el sol,1934,5,17,https://hemerotecadigital.bne.es/hd/es/viewer?id=676c54e6-1ff1-421b-a7a7-9fd615041599,liberal,madrid,adult,national,daily,40.416.775,-4100,1917,1917_64
65,el sol,1938,10,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=b0de2129-758c-4bd4-abcf-640034680fe5,liberal,madrid,adult,national,daily,40.416.775,-4100,1917,1917_65
66,la accion,1916,3,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=415bac07-9e61-4141-87a8-7ee207fbc62a,conservative,madrid,adult,national,daily,40500,-3600,1916,1916_66
67,la accion,1918,3,20,https://hemerotecadigital.bne.es/hd/es/viewer?id=b5205a20-b7d3-4ced-9ab2-96ddd57b7288,conservative,madrid,adult,national,daily,40500,-3600,1916,1916_67
68,la accion,1919,12,19,https://hemerotecadigital.bne.es/hd/es/viewer?id=0490687f-48cb-4a6c-83cb-72f1cdc713e1,conservative,madrid,adult,national,daily,40500,-3600,1916,1916_68
69,la accion,1921,9,8,https://hemerotecadigital.bne.es/hd/es/viewer?id=8984b45a-feaa-4b48-ba68-ffceb2cd6596,conservative,madrid,adult,national,daily,40500,-3600,1916,1916_69
70,la accion,1924,2,13,https://hemerotecadigital.bne.es/hd/es/viewer?id=76896e06-ace2-4ffd-af72-d5ef9b075dbd,conservative,madrid,adult,national,daily,40500,-3600,1916,1916_70
71,la actualidad,1906,10,28,https://hemerotecadigital.bne.es/hd/es/viewer?id=af164baf-76b8-41c1-b254-2390fb74cac9,,barcelona,youth,national,weekly,41500,2100,1906,1906_71
72,la actualidad,1906,8,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=ca92d7b4-5c45-45b1-8834-b62db2cf027d,,barcelona,youth,national,weekly,41500,2100,1906,1906_72
73,la actualidad,1909,10,19,https://hemerotecadigital.bne.es/hd/es/viewer?id=2ef3748d-5744-4a62-a930-12c7d09685e8,,barcelona,youth,national,weekly,41500,2100,1906,1906_73
74,la actualidad,1909,3,4,https://hemerotecadigital.bne.es/hd/es/viewer?id=9623b60e-3e30-4730-88d0-915dcbcc5bb4,,barcelona,youth,national,weekly,41500,2100,1906,1906_74
75,la actualidad,1911,4,4,https://hemerotecadigital.bne.es/hd/es/viewer?id=aadde9d8-ccc2-4b48-a7e1-d30394cf6566,,barcelona,youth,national,weekly,41500,2100,1906,1906_75
76,la actualidad,1911,5,30,https://hemerotecadigital.bne.es/hd/es/viewer?id=b7026074-9d6a-4ce2-b485-aed6ad74ea2d,,barcelona,youth,national,weekly,41500,2100,1906,1906_76
77,la dinastia,1890,2,8,https://hemerotecadigital.bne.es/hd/es/viewer?id=82300170-c016-4bb7-a558-cfa30b5fd490,conservative,barcelona,adult,catalonia,daily,41700,2300,1883,1883_77
78,la dinastia,1890,4,18,https://hemerotecadigital.bne.es/hd/es/viewer?id=b053d575-e0b3-4d10-b32c-1ef87d608269,conservative,barcelona,adult,catalonia,daily,41700,2300,1883,1883_78
79,la dinastia,1891,10,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=a7318ba5-8f23-4453-8950-804e46e41ba5,conservative,barcelona,adult,catalonia,daily,41700,2300,1883,1883_79
80,la dinastia,1891,8,21,https://hemerotecadigital.bne.es/hd/es/viewer?id=1d7e3a8a-f39d-4735-93b7-ca7f6fec7a70,conservative,barcelona,adult,catalonia,daily,41700,2300,1883,1883_80
81,la dinastia,1892,4,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=a3ab8cda-e4ab-4d6b-aeb2-f6aab1d599ae,conservative,barcelona,adult,catalonia,daily,41700,2300,1883,1883_81
82,la dinastia,1892,6,29,https://hemerotecadigital.bne.es/hd/es/viewer?id=81e1f9ec-5078-467a-a711-fa9569cbe910,conservative,barcelona,adult,catalonia,daily,41700,2300,1883,1883_82
83,la dinastia,1896,3,7,https://hemerotecadigital.bne.es/hd/es/viewer?id=f0249ced-40d0-4334-bb25-2fb791a2707e,conservative,barcelona,adult,catalonia,daily,41700,2300,1883,1883_83
84,la dinastia,1896,7,24,https://hemerotecadigital.bne.es/hd/es/viewer?id=5b37e78a-d7e4-4e99-bb09-9408a24b3e6d,conservative,barcelona,adult,catalonia,daily,41700,2300,1883,1883_84
85,la dinastia,1901,6,11,https://hemerotecadigital.bne.es/hd/es/viewer?id=e0158feb-2724-4b12-861d-79aeea22b3d9,conservative,barcelona,adult,catalonia,daily,41700,2300,1883,1883_85
86,la dinastia,1901,7,14,https://hemerotecadigital.bne.es/hd/es/viewer?id=7306a65f-342b-4e2a-b940-774598ce778a,conservative,barcelona,adult,catalonia,daily,41700,2300,1883,1883_86
87,las noticias,1898,3,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=18468cb8-f3d2-42ab-a755-b98c6bcb502c,liberal,barcelona,adult,national,daily,41450,2500,1896,1896_87
88,las noticias,1899,8,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=5f4df02b-721a-4618-9792-8e86a64ed944,liberal,barcelona,adult,national,daily,41450,2500,1896,1896_88
89,las noticias,1901,9,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=19964d04-97bb-4a7d-87ba-fb6966f631b9,liberal,barcelona,adult,national,daily,41450,2500,1896,1896_89
90,solidaridad obrera,1936,11,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=bdfc2a84-bf5e-424e-a6be-e5d9cdbb2373,anarchist,barcelona,adult,national,weekly,41.346.176,2700,1907,1907_90
91,solidaridad obrera,1937,12,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=e9844fd4-c779-41a9-92d7-c4ac4fa436ab,anarchist,barcelona,adult,national,weekly,41.346.176,2700,1907,1907_91
92,solidaridad obrera,1937,6,17,https://hemerotecadigital.bne.es/hd/es/viewer?id=adb99069-b0df-4722-907a-941851b1a8a4,anarchist,barcelona,adult,national,weekly,41.346.176,2700,1907,1907_92
93,solidaridad obrera,1938,6,9,https://hemerotecadigital.bne.es/hd/es/viewer?id=4558b364-ac22-4e3b-894c-67838f5c6ca1,anarchist,barcelona,adult,national,weekly,41.346.176,2700,1907,1907_93
94,solidaridad obrera,1938,8,18,https://hemerotecadigital.bne.es/hd/es/viewer?id=64cd14fe-f657-48ad-946c-f368de37ed21,anarchist,barcelona,adult,national,weekly,41.346.176,2700,1907,1907_94
95,solidaridad obrera,1939,1,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=18c5f3ac-8b05-45a1-96c1-e72859015150,anarchist,barcelona,adult,national,weekly,41.346.176,2700,1907,1907_95
96,vida socialista,1910,2,20,https://hemerotecadigital.bne.es/hd/es/viewer?id=3e9042d9-c618-4eda-931b-1dfe287f006d,socialist,madrid,adult,national,weekly,41000,-3.703.790,1910,1910_96
97,vida socialista,1910,7,24,https://hemerotecadigital.bne.es/hd/es/viewer?id=55a64676-d914-4dc9-9c03-4e822e6a983d,socialist,madrid,adult,national,weekly,41000,-3.703.790,1910,1910_97
98,vida socialista,1911,12,17,https://hemerotecadigital.bne.es/hd/es/viewer?id=fc68430d-7115-40e3-8672-088925dca967,socialist,madrid,adult,national,weekly,41000,-3.703.790,1910,1910_98
99,vida socialista,1911,4,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=37bd931f-9223-4f17-838d-448ff691e5bb,socialist,madrid,adult,national,weekly,41000,-3.703.790,1910,1910_99
100,vida socialista,1912,7,14,https://hemerotecadigital.bne.es/hd/es/viewer?id=a627c4fb-eadb-45cc-a723-1fb711f49be9,socialist,madrid,adult,national,weekly,41000,-3.703.790,1910,1910_100
